customerID,CohortName,PredictedChurnProbability,RiskScore,EngagementScore,tenure,MonthlyCharges,Contract,InternetService,PaymentMethod
1628-BIZYP,At-Risk Newcomers,91.7,91.88640132669984,16.73611111111111,1,85.0,Month-to-month,Fiber optic,Electronic check
4912-PIGUY,At-Risk Newcomers,91.7,91.83372353916693,16.73611111111111,1,84.6,Month-to-month,Fiber optic,Electronic check
7577-SWIFR,At-Risk Newcomers,91.6,92.44610281923715,16.73611111111111,1,89.25,Month-to-month,Fiber optic,Electronic check
7439-DKZTW,At-Risk Newcomers,91.4,94.83635742854356,12.986111111111107,1,80.55,Month-to-month,Fiber optic,Electronic check
1941-HOSAM,At-Risk Newcomers,91.3,82.5580431177446,16.73611111111111,1,90.1,Month-to-month,Fiber optic,Electronic check
1452-VOQCH,At-Risk Newcomers,91.2,93.87937762169544,12.986111111111107,1,75.1,Month-to-month,Fiber optic,Electronic check
2018-QKYGT,At-Risk Newcomers,91.0,84.92415374109842,12.986111111111107,1,81.05,Month-to-month,Fiber optic,Electronic check
4273-MBHYA,At-Risk Newcomers,91.0,82.45927226612038,16.73611111111111,1,89.35,Month-to-month,Fiber optic,Electronic check
0021-IKXGC,At-Risk Newcomers,90.8,93.3525997463662,12.986111111111107,1,72.1,Month-to-month,Fiber optic,Electronic check
5542-TBBWB,At-Risk Newcomers,90.6,99.10325821871037,9.23611111111111,1,69.9,Month-to-month,Fiber optic,Electronic check
6350-XFYGW,At-Risk Newcomers,89.9,89.84147888010925,21.944444444444443,4,94.75,Month-to-month,Fiber optic,Electronic check
5150-ITWWB,At-Risk Newcomers,89.9,90.1297922153936,21.458333333333336,3,94.85,Month-to-month,Fiber optic,Electronic check
7465-ZZRVX,At-Risk Newcomers,89.7,99.22178324065943,9.23611111111111,1,70.35,Month-to-month,Fiber optic,Electronic check
3878-AVSOQ,At-Risk Newcomers,89.6,99.4588332845576,9.23611111111111,1,71.25,Month-to-month,Fiber optic,Electronic check
1640-PLFMP,At-Risk Newcomers,89.6,99.19544434689298,9.23611111111111,1,70.25,Month-to-month,Fiber optic,Electronic check
9603-OAIHC,At-Risk Newcomers,89.4,99.14276655936008,9.23611111111111,1,70.05,Month-to-month,Fiber optic,Electronic check
9605-WGJVW,At-Risk Newcomers,89.3,99.18227490000974,9.23611111111111,1,70.2,Month-to-month,Fiber optic,Electronic check
4927-WWOOZ,At-Risk Newcomers,89.3,80.0493610379475,20.97222222222222,2,91.45,Month-to-month,Fiber optic,Electronic check
2254-DLXRI,At-Risk Newcomers,89.1,81.11598868403082,16.73611111111111,1,79.15,Month-to-month,Fiber optic,Mailed check
2545-EBUPK,At-Risk Newcomers,89.0,91.48351380353137,17.22222222222222,2,84.05,Month-to-month,Fiber optic,Electronic check
8161-QYMTT,At-Risk Newcomers,88.8,88.93966442298313,23.40277777777778,7,94.1,Month-to-month,Fiber optic,Electronic check
6969-MVBAI,At-Risk Newcomers,88.7,87.96268656716417,24.375,9,90.1,Month-to-month,Fiber optic,Electronic check
5032-MIYKT,At-Risk Newcomers,88.7,89.31396936884207,9.23611111111111,1,70.7,Month-to-month,Fiber optic,Mailed check
8622-ZLFKO,At-Risk Newcomers,88.6,78.8645010242903,22.916666666666668,6,90.75,Month-to-month,Fiber optic,Electronic check
5043-TRZWM,At-Risk Newcomers,88.5,93.95839430299483,7.986111111111111,1,75.55,Month-to-month,Fiber optic,Electronic check
9617-INGJY,At-Risk Newcomers,88.5,89.2876304750756,9.23611111111111,1,70.6,Month-to-month,Fiber optic,Mailed check
3462-BJQQA,At-Risk Newcomers,88.5,88.75914544922446,22.916666666666668,6,89.75,Month-to-month,Fiber optic,Electronic check
4884-ZTHVF,At-Risk Newcomers,88.5,90.21851526680324,20.13888888888889,8,87.1,Month-to-month,Fiber optic,Electronic check
1960-UYCNN,At-Risk Newcomers,88.4,86.55497024680518,28.61111111111111,10,95.25,Month-to-month,Fiber optic,Electronic check
4115-NZRKS,At-Risk Newcomers,88.3,90.76626670568724,19.65277777777777,7,89.15,Month-to-month,Fiber optic,Electronic check
4847-TAJYI,At-Risk Newcomers,88.3,91.07038337723148,19.166666666666664,6,89.35,Month-to-month,Fiber optic,Electronic check
4395-PZMSN,At-Risk Newcomers,88.2,90.84772217344648,18.68055555555556,5,85.55,Month-to-month,Fiber optic,Electronic check
9840-EFJQB,At-Risk Newcomers,88.2,93.74768315286312,7.986111111111111,1,74.35,Month-to-month,Fiber optic,Electronic check
5168-MSWXT,At-Risk Newcomers,88.1,78.73036776899815,23.88888888888889,8,94.75,Month-to-month,Fiber optic,Electronic check
8242-SOQUO,At-Risk Newcomers,88.1,90.73578187493902,18.68055555555556,5,84.7,Month-to-month,Fiber optic,Electronic check
8309-IEYJD,At-Risk Newcomers,88.1,89.2876304750756,9.23611111111111,1,70.6,Month-to-month,Fiber optic,Mailed check
0187-QSXOE,At-Risk Newcomers,88.0,80.7465125353624,19.65277777777777,7,89.0,Month-to-month,Fiber optic,Electronic check
8775-ERLNB,At-Risk Newcomers,87.9,83.73890352160764,7.986111111111111,1,74.3,Month-to-month,Fiber optic,Electronic check
2262-SLNVK,At-Risk Newcomers,87.9,99.15593600624328,4.236111111111111,1,70.1,Month-to-month,Fiber optic,Electronic check
2123-AGEEN,At-Risk Newcomers,87.9,90.13413325529216,19.65277777777777,7,84.35,Month-to-month,Fiber optic,Electronic check
8087-LGYHQ,At-Risk Newcomers,87.9,88.37884108867426,24.375,9,94.05,Month-to-month,Fiber optic,Electronic check
3318-NMQXL,At-Risk Newcomers,87.7,92.25270705297042,17.708333333333332,3,92.0,Month-to-month,Fiber optic,Electronic check
3422-GALYP,At-Risk Newcomers,87.6,90.87771924690271,17.22222222222222,2,79.45,Month-to-month,Fiber optic,Electronic check
6630-UJZMY,At-Risk Newcomers,87.6,80.82260267290995,18.19444444444444,4,83.25,Month-to-month,Fiber optic,Electronic check
8739-XNIKG,At-Risk Newcomers,87.6,90.6435957467564,18.68055555555556,5,84.0,Month-to-month,Fiber optic,Electronic check
9957-YODKZ,At-Risk Newcomers,87.5,79.94439566871525,19.166666666666664,6,80.8,Month-to-month,Fiber optic,Electronic check
8040-MNRTF,At-Risk Newcomers,87.5,89.41932494390791,4.236111111111111,1,71.1,Month-to-month,Fiber optic,Mailed check
4234-XTNEA,At-Risk Newcomers,87.5,94.45322407569992,13.47222222222222,2,79.95,Month-to-month,Fiber optic,Electronic check
3489-HHPFY,At-Risk Newcomers,87.3,81.48351380353135,17.22222222222222,2,84.05,Month-to-month,Fiber optic,Electronic check
6407-UTSLV,At-Risk Newcomers,86.9,81.45059018632328,27.22222222222222,2,83.8,Month-to-month,Fiber optic,Bank transfer (automatic)
6229-LSCKB,At-Risk Newcomers,86.6,93.29821480831136,15.416666666666668,6,79.7,Month-to-month,Fiber optic,Electronic check
2215-ZAFGX,At-Risk Newcomers,86.5,89.73002633889377,20.625,9,85.5,Month-to-month,Fiber optic,Electronic check
4929-XIHVW,At-Risk Newcomers,86.5,70.47605111696419,30.97222222222221,2,95.5,Month-to-month,Fiber optic,Credit card (automatic)
6786-OBWQR,At-Risk Newcomers,86.4,83.77792410496536,14.930555555555555,5,80.85,Month-to-month,Fiber optic,Electronic check
3191-CSNMG,At-Risk Newcomers,86.2,84.30714076675446,13.958333333333334,3,80.7,Month-to-month,Fiber optic,Electronic check
2657-VPXTA,At-Risk Newcomers,86.1,79.89342503170423,21.111111111111107,10,88.85,Month-to-month,Fiber optic,Electronic check
6357-JJPQT,At-Risk Newcomers,86.0,94.2720222417325,13.958333333333334,3,80.5,Month-to-month,Fiber optic,Electronic check
4770-UEZOX,At-Risk Newcomers,85.9,93.54014242512925,13.47222222222222,2,74.75,Month-to-month,Fiber optic,Electronic check
2880-FPNAE,At-Risk Newcomers,85.9,83.44356648131888,13.47222222222222,2,74.2,Month-to-month,Fiber optic,Electronic check
2789-HQBOU,At-Risk Newcomers,85.9,94.24568334796604,13.958333333333334,3,80.35,Month-to-month,Fiber optic,Electronic check
9334-GWGOW,At-Risk Newcomers,85.6,82.16881279875133,15.902777777777777,7,74.85,Month-to-month,Fiber optic,Electronic check
4090-KPJIP,At-Risk Newcomers,85.6,93.29748317237342,13.958333333333334,3,74.95,Month-to-month,Fiber optic,Electronic check
1197-BVMVG,At-Risk Newcomers,85.6,92.93190908204076,14.444444444444445,4,74.45,Month-to-month,Fiber optic,Electronic check
1173-XZPYF,At-Risk Newcomers,85.5,87.31231099404935,25.34722222222222,11,89.2,Month-to-month,Fiber optic,Electronic check
2077-MPJQO,At-Risk Newcomers,85.5,82.2653887425617,15.902777777777777,7,75.4,Month-to-month,Fiber optic,Electronic check
8132-YPVBX,At-Risk Newcomers,85.4,80.62262218320163,19.166666666666664,6,85.95,Month-to-month,Fiber optic,Mailed check
4445-ZJNMU,At-Risk Newcomers,85.4,77.1883230904302,38.125,9,99.3,Month-to-month,Fiber optic,Credit card (automatic)
8714-CTZJW,At-Risk Newcomers,85.4,80.76992488537704,28.194444444444443,4,82.85,Month-to-month,Fiber optic,Credit card (automatic)
5429-LWCMV,At-Risk Newcomers,85.4,87.02926543751829,25.83333333333333,12,89.15,Month-to-month,Fiber optic,Electronic check
5348-CAGXB,At-Risk Newcomers,85.4,87.07140766754463,25.83333333333333,12,89.55,Month-to-month,Fiber optic,Electronic check
2135-DQWAQ,At-Risk Newcomers,85.4,80.81479855623842,18.68055555555556,5,85.3,Month-to-month,Fiber optic,Mailed check
3420-YJLQT,At-Risk Newcomers,85.2,90.89088869378595,12.22222222222222,2,79.55,Month-to-month,Fiber optic,Electronic check
4749-OJKQU,At-Risk Newcomers,85.1,93.14262023217246,14.444444444444445,4,75.65,Month-to-month,Fiber optic,Electronic check
2959-FENLU,At-Risk Newcomers,85.0,79.7036874451273,30.625,9,85.3,Month-to-month,Fiber optic,Credit card (automatic)
1475-VWVDO,At-Risk Newcomers,85.0,92.17759243000684,15.902777777777777,7,74.9,Month-to-month,Fiber optic,Electronic check
2688-BHGOG,At-Risk Newcomers,85.0,92.43854258121158,16.875,9,79.55,Month-to-month,Fiber optic,Electronic check
0840-DFEZH,At-Risk Newcomers,84.8,92.2566091113062,15.902777777777777,7,75.35,Month-to-month,Fiber optic,Electronic check
5399-ZIMKF,At-Risk Newcomers,84.8,92.68924982928492,14.930555555555555,5,74.65,Month-to-month,Fiber optic,Electronic check
4566-NECEV,At-Risk Newcomers,84.7,88.0579943420154,21.18055555555556,5,96.55,Month-to-month,Fiber optic,Electronic check
8325-QRPZR,At-Risk Newcomers,84.7,92.22149058628426,15.902777777777777,7,75.15,Month-to-month,Fiber optic,Electronic check
