customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,ChurnFlag,ServicesAdopted,HasInternet,TenureNorm,ServicesNorm,ContractScore,AutoPay,PaperlessScore,EngagementScore,ChargeToServiceRatio,ChargeRiskNorm,LowTenureRisk,MonthToMonthRisk,EcheckRisk,FiberNoSecurityRisk,UnanchoredRisk,RiskScore
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,0,1,1,0.013888888888888888,0.125,0.0,0,1,9.23611111111111,14.925,0.2554872695346796,0.9861111111111112,1,1,0,0,58.55453126524242
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,0,3,1,0.4722222222222222,0.375,0.5,0,0,37.77777777777778,14.2375,0.23134328358208958,0.5277777777777778,0,0,0,1,24.025704809286903
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,1,3,1,0.027777777777777776,0.375,0.0,0,1,17.22222222222222,13.4625,0.20412642669007905,0.9722222222222222,1,0,0,1,57.50634084479562
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,0,3,1,0.625,0.375,0.5,1,0,53.125,10.575,0.10272168568920104,0.375,0,0,0,1,19.040825285338016
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,1,1,1,0.027777777777777776,0.125,0.0,0,1,9.722222222222223,35.35,0.9727831431079895,0.9722222222222222,1,1,1,1,99.03619159106427
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,1,5,1,0.1111111111111111,0.625,0.0,0,1,27.63888888888889,16.608333333333334,0.3146034533216272,0.8888888888888888,1,1,1,1,87.49682957760217
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,0,4,1,0.3055555555555556,0.5,0.0,1,1,40.694444444444436,17.82,0.35715539947322217,0.6944444444444444,1,0,1,0,64.24621988098723
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,0,1,1,0.1388888888888889,0.125,0.0,0,0,8.61111111111111,14.875,0.2537313432835821,0.8611111111111112,1,0,0,1,56.02819237147596
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,1,6,1,0.3888888888888889,0.75,0.0,0,1,41.11111111111111,14.971428571428572,0.2571177724821272,0.6111111111111112,1,1,0,0,51.07898880945413
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,0,3,1,0.8611111111111112,0.375,0.5,1,0,61.38888888888888,14.0375,0.22431957857769974,0.13888888888888884,0,0,0,0,6.142571456443273
