customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,ChurnFlag,ServicesAdopted,HasInternet,TenureNorm,ServicesNorm,ContractScore,AutoPay,PaperlessScore,EngagementScore,ChargeToServiceRatio,ChargeRiskNorm,LowTenureRisk,MonthToMonthRisk,EcheckRisk,FiberNoSecurityRisk,UnanchoredRisk,RiskScore,Cohort,CohortName,PC1,PC2,PredictedChurnProbability
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,0,1,1,0.0138888888888888,0.125,0.0,0,1,9.23611111111111,14.925,0.2554872695346796,0.9861111111111112,1,1,0,0,58.55453126524242,3,Disengaged Low-Spenders,-2.483750525687606,-0.8613256144563233,0.7345507955872987
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,0,3,1,0.4722222222222222,0.375,0.5,0,0,37.77777777777778,14.2375,0.2313432835820895,0.5277777777777778,0,0,0,1,24.025704809286903,1,Contract-Locked Loyalists,0.2467508446508825,-0.6399131011979188,0.16191876038987194
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,1,3,1,0.0277777777777777,0.375,0.0,0,1,17.22222222222222,13.4625,0.204126426690079,0.9722222222222222,1,0,0,1,57.50634084479562,3,Disengaged Low-Spenders,-1.7940442787956024,0.17653645793748374,0.6802419661822976
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,0,3,1,0.625,0.375,0.5,1,0,53.125,10.575,0.102721685689201,0.375,0,0,0,1,19.040825285338016,1,Contract-Locked Loyalists,0.7478130362402168,-1.0519187599588584,0.14614687935936654
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,1,1,1,0.0277777777777777,0.125,0.0,0,1,9.722222222222223,35.35,0.9727831431079896,0.9722222222222222,1,1,1,1,99.03619159106428,0,At-Risk Newcomers,-2.811679779445358,0.6233717555403799,0.8366784543453543
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,1,5,1,0.1111111111111111,0.625,0.0,0,1,27.63888888888889,16.608333333333334,0.3146034533216272,0.8888888888888888,1,1,1,1,87.49682957760217,0,At-Risk Newcomers,-1.2912979871589247,2.1244119308504836,0.8927499547435164
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,0,4,1,0.3055555555555556,0.5,0.0,1,1,40.69444444444444,17.82,0.3571553994732221,0.6944444444444444,1,0,1,0,64.24621988098723,2,Wavering High-Spenders,-0.6571739673846555,1.3160956140984688,0.6480372827466433
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,0,1,1,0.1388888888888889,0.125,0.0,0,0,8.61111111111111,14.875,0.2537313432835821,0.8611111111111112,1,0,0,1,56.02819237147596,3,Disengaged Low-Spenders,-2.2866936661391675,-0.916243243721599,0.4667079564879806
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,1,6,1,0.3888888888888889,0.75,0.0,0,1,41.11111111111111,14.971428571428572,0.2571177724821272,0.6111111111111112,1,1,0,0,51.07898880945413,2,Wavering High-Spenders,0.10866367319499362,1.9814719446605957,0.6632814195358802
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,0,3,1,0.8611111111111112,0.375,0.5,1,0,61.38888888888888,14.0375,0.2243195785776997,0.1388888888888888,0,0,0,0,6.142571456443273,1,Contract-Locked Loyalists,1.513169684455152,-0.9242511830316088,0.1222113122610197
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,0,2,1,0.1805555555555555,0.25,0.0,0,1,18.819444444444443,16.650000000000002,0.3160667251975418,0.8194444444444444,1,0,0,0,46.12988976685201,3,Disengaged Low-Spenders,-1.5815005657955332,-0.32747587956944013,0.40692678226458023
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,0,1,0,0.2222222222222222,0.125,1.0,1,0,41.52777777777777,9.475,0.064091308165057,0.7777777777777778,0,0,0,1,26.51692517803141,1,Contract-Locked Loyalists,-0.13936481539465703,-2.342084458696964,0.05622161507853954
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,0,5,1,0.8055555555555556,0.625,0.5,1,0,66.94444444444444,16.724999999999998,0.3187006145741878,0.1944444444444444,0,0,1,0,28.66939810750171,4,High-Value Champions,1.8294714817801458,0.9028535398117157,0.3532786722318397
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,1,6,1,0.6805555555555556,0.75,0.0,1,1,61.31944444444445,14.814285714285717,0.2515991471215352,0.3194444444444444,1,0,1,1,65.16287609571191,2,Wavering High-Spenders,0.6953485022640291,2.1218717501009348,0.6977163546520122
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,0,6,1,0.3472222222222222,0.75,0.0,0,1,39.65277777777778,15.071428571428571,0.2606296249843221,0.6527777777777778,1,1,0,1,61.96499993032039,2,Wavering High-Spenders,-0.13571992444537453,2.145737783946558,0.7122785808836004
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,0,8,1,0.9583333333333334,1.0,1.0,1,0,93.54166666666669,12.583333333333334,0.1732513901082821,0.0416666666666666,0,0,0,0,3.432104184957565,4,High-Value Champions,4.051673589436901,1.200958065712065,0.1411134998211478
